,title,text,claimDate,reviewDate,claimant,publisher,url,label,poynter,poynter_title,poynter_link
10,,This footage shows a girl suffering from a Covid-19 vaccine's side effects.,2021-01-13T00:00:00Z,2021-02-08T08:51:00Z,multiple sources,AFP Fact Check,https://factcheck.afp.com/social-media-posts-falsely-claim-old-video-shows-covid-19-vaccine-side-effects,FALSE,1,a video of a girl suffering from severe side effects after receiving a covid19 vaccine,https://factcheck.afp.com/social-media-posts-falsely-claim-old-video-shows-covid-19-vaccine-side-effects
11,Las mentiras de Chinda Brandolino sobre las vacunas contra el ...,Según Chinda Brandolino las vacunas contra el COVID-19 son transgénicas,,2021-02-08T15:53:02Z,,ColombiaCheck,https://colombiacheck.com/chequeos/las-mentiras-de-chinda-brandolino-sobre-las-vacunas-contra-el-covid-19,Falso,1,messenger rna vaccines are transgenic substances that modify dna and produce sterility,https://colombiacheck.com/chequeos/las-mentiras-de-chinda-brandolino-sobre-las-vacunas-contra-el-covid-19
12,Noszenie maseczek nie przyczynia się do zachorowań na ...,Maseczki powodują nowotwory płuc.,,2021-02-10T00:00:00Z,,Demagog,https://demagog.org.pl/fake_news/noszenie-maseczek-nie-przyczynia-sie-do-zachorowan-na-nowotwory-pluc/,Fałsz. Maseczki nie powodują zachorowań na raka płuc. Przytaczane w artykule badania nie miały nic wspólnego z noszeniem maseczek w czasie pandemii koronawirusa SARS-CoV-2.,1,wearing mask can cause lung cancer,https://demagog.org.pl/fake_news/noszenie-maseczek-nie-przyczynia-sie-do-zachorowan-na-nowotwory-pluc/
13,FACT CHECK: Does This Video Show Nigerian Students Jumping ...,the video shows Nigerian students jumping from the second floor of a school building to avoid receiving a school-mandated COVID-19 vaccine,2021-02-02T00:00:00Z,2021-02-09T19:49:41Z,Viral Video,Check Your Fact,http://checkyourfact.com/2021/02/09/fact-check-video-nigerian-students-jumping-avoid-coronavirus-vaccines/,False,0,the video shows nigerian students jumping from the second floor of a school building to avoid receiving a schoolmandated covid19 vaccine,https://checkyourfact.com/2021/02/09/fact-check-video-nigerian-students-jumping-avoid-coronavirus-vaccines/
14,"Nie, fale elektromagnetyczne nie są przyczyną wszystkich pandemii",Fale elektromagnetyczne przyczyniły się do wszystkich pandemii na przestrzeni ostatnich 150 lat.,2021-01-20T00:00:00Z,2021-02-09T00:00:00Z,Thomas Cowan,Demagog,https://demagog.org.pl/fake_news/nie-fale-elektromagnetyczne-nie-sa-przyczyna-wszystkich-pandemii/,Fałsz. Elektryfikacja nie ma związku z pandemiami. Za pandemie odpowiadają wirusy o potencjalnie pandemicznym.,1,viruses do not exist electromagnetic waves caused every pandemic,https://demagog.org.pl/fake_news/nie-fale-elektromagnetyczne-nie-sa-przyczyna-wszystkich-pandemii/
15,,American Journal of Medicine and Facebook “admit mistakes” on hydroxychloroquine studies,2020-02-03T00:00:00Z,2021-02-11T12:38:00Z,Multiple Sources,AFP Fact Check,https://factcheck.afp.com/misleading-claim-circulates-us-medical-journal-endorsed-hydroxychloroquine-covid-treatment,Misleading,1,a us medical journal endorsed hydroxychloroquine as covid treatment,https://factcheck.afp.com/misleading-claim-circulates-us-medical-journal-endorsed-hydroxychloroquine-covid-treatment
16,,Informe médico de prueba PCR del Hospital Quirónsalud Barcelona: Illa positivo por coronavirus Covid-19,,2021-02-12T00:00:00Z,,Maldita.es,https://maldita.es/malditobulo/20210212/illa-positivo-covid-coronavirus-quironsalud-alvise-pcr-psc/,Falso,1,document that says salvador illa candidate of the spanish socialist party in the catalan elections tested positive for covid19 on february 6,https://maldita.es/malditobulo/20210212/illa-positivo-covid-coronavirus-quironsalud-alvise-pcr-psc/
17,,"El liante, embustero y seguramente futuro encausado Salvador Illa dio positivo en PCR el día 6 de Febrero en la clínica Quirón de Barcelona.",,2021-02-12T00:00:00Z,,Newtral,https://www.newtral.es/salvador-illa-positivo-coronavirus-bulo/20210212/,Falso,1,former spainish health minister salvador illa has tested positive for covid19,https://www.newtral.es/salvador-illa-positivo-coronavirus-bulo/20210212/
18,,Disgraced US scientist Judy Mikovits jailed in 2021 for discovering retroviruses are transmitted to humans through vaccines,2020-02-01T00:00:00Z,2021-02-09T04:40:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/facebook-posts-falsely-report-arrest-discredited-us-researcher-who-featured-plandemic-video,False,1,police have detained discredited us researcher judy mikovits for discovering evidence that deadly retroviruses are transmitted through vaccines,https://factcheck.afp.com/facebook-posts-falsely-report-arrest-discredited-us-researcher-who-featured-plandemic-video
19,,France and Australia suspends Covid-19 vaccine rollout?,,2021-02-12T05:30:00Z,,AFP Fact Check,https://factcheck.afp.com/conspiracy-theorist-alex-jones-falsely-claims-australia-and-france-ditched-coronavirus-vaccination,Partly false,1,farright broadcaster alex jones claims that australia and france have suspended covid19 vaccination campaigns because the jab does not work,https://factcheck.afp.com/conspiracy-theorist-alex-jones-falsely-claims-australia-and-france-ditched-coronavirus-vaccination
20,,Face masks cause lung cancer,2021-01-29T00:00:00Z,2021-02-12T22:48:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/no-evidence-face-mask-use-causes-lung-cancer,False,1,face mask use causes lung cancer,https://factcheck.afp.com/no-evidence-face-mask-use-causes-lung-cancer
21,,The Covid-19 vaccine will kill you so do not take it,2021-02-01T00:00:00Z,2021-02-11T10:30:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/anti-vaxxer-messages-circulate-online-sri-lanka-island-nation-prepares-coronavirus-vaccination-drive,False,1,people should consume herbal remedies instead of taking the covid19 vaccine,https://factcheck.afp.com/anti-vaxxer-messages-circulate-online-sri-lanka-island-nation-prepares-coronavirus-vaccination-drive
22,,Image shows recipe for antimalarial drugs quinine and hydroxychloroquine,2020-01-31T00:00:00Z,2021-02-11T06:30:00Z,Multiple Sources,AFP Fact Check,https://factcheck.afp.com/facebook-posts-falsely-claim-hydroxychloroquine-can-be-homemade-treatment-covid-19,False,1,hydroxychloroquine can be homemade as treatment for covid19,https://factcheck.afp.com/facebook-posts-falsely-claim-hydroxychloroquine-can-be-homemade-treatment-covid-19
23,"Video Airs False, Misleading Claims About Face Masks","Face masks have been proven ""unsafe"" and ""ineffective,"" and cause ""facial deformities.""",2021-02-12T00:00:00Z,,Eric Nepute,FactCheck.org,https://www.factcheck.org/2021/02/scicheck-video-airs-false-misleading-claims-about-face-masks/,False,1,face masks cause cavities facial deformities and dont protect against covid19,https://www.factcheck.org/2021/02/scicheck-video-airs-false-misleading-claims-about-face-masks/
24,#Verificamos: Fotos de César Tralli sem máscara andando de patins ...,"César Tralli, jornalista da globolixo vive vociferando para o povo usar máscara, olha o naipe dele",2021-02-02T19:26:08Z,2021-02-02T19:26:08Z,Post do Facebook,UOL,https://piaui.folha.uol.com.br/lupa/2021/02/02/verificamos-tralli-sem-mascara/,Falso,1,césar tralli was caught rollerskating on leblon beach rio de janeiro without masks,https://piaui.folha.uol.com.br/lupa/2021/02/02/verificamos-tralli-sem-mascara/
25,,This video shows Thai health minister crying in fear while taking Covid-19 vaccine,,2021-02-02T17:34:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/video-has-circulated-reports-2018-about-nurse-trying-give-chinese-man-injection,False,1,a  video of a man crying in fear while a nurse attempts to give him an injection,https://factcheck.afp.com/video-has-circulated-reports-2018-about-nurse-trying-give-chinese-man-injection
26,Declaraciones de Patarroyo sobre las vacunas contra COVID-19 ...,Manuel Elkin Patarroyo dice que efecto vacunas contra coronavirus es corto,,2021-02-03T21:55:05Z,,ColombiaCheck,https://colombiacheck.com/chequeos/declaraciones-de-patarroyo-sobre-las-vacunas-contra-covid-19-estan-desactualizadas,Cuestionable,1,colombian doctor manuel elkin patarroyo says that the immunity produced by vaccines against covid19 is shortlived,https://colombiacheck.com/chequeos/declaraciones-de-patarroyo-sobre-las-vacunas-contra-covid-19-estan-desactualizadas
27,"Dióxido de cloro es potencialmente tóxico, contrario a lo que afirmó ...",Dióxido de cloro no es tóxico,,2021-02-02T20:59:38Z,,ColombiaCheck,https://colombiacheck.com/chequeos/dioxido-de-cloro-es-potencialmente-toxico-contrario-lo-que-afirmo-la-actriz-cony-camelo,Falso,1,chlorine dioxide is nontoxic,https://colombiacheck.com/chequeos/dioxido-de-cloro-es-potencialmente-toxico-contrario-lo-que-afirmo-la-actriz-cony-camelo
28,,WHO advice says people don’t need to wear a mask,2021-02-03T00:00:00Z,2021-02-04T07:30:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/false-social-media-posts-claim-who-advised-against-wearing-face-masks-2021-despite-raging-pandemic,False,1,world health organization who has issued new advice against wearing face masks during the coronavirus pandemic,https://factcheck.afp.com/false-social-media-posts-claim-who-advised-against-wearing-face-masks-2021-despite-raging-pandemic
29,,Face masks are dangerous for children,2021-01-05T00:00:00Z,2021-02-03T17:34:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/posts-falsely-claim-face-mask-use-harms-children,False,1,wearing face masks to help stop the spread of covid19 will cause children physical and psychological problems,https://factcheck.afp.com/posts-falsely-claim-face-mask-use-harms-children
30,,"El ARNm de las vacunas, que crea proteínas extrañas en nuestro organismo, modifica nuestro ADN",,2021-02-04T00:00:00Z,,Newtral,https://www.newtral.es/bulo-vacunas-ribosomas-funcion-arn-modifican-adn/20210204/,Falso,1,vaccine mrna which creates foreign proteins in our body modifies our dna,https://www.newtral.es/bulo-vacunas-ribosomas-funcion-arn-modifican-adn/20210204/
31,,Los niveles de oxígeno en el interior de la mascarilla son menores e impiden que llegue a nuestros pulmones,2020-07-22T00:00:00Z,,Redes sociales,Maldita.es,https://maldita.es/malditaciencia/20210204/el-video-lleno-de-falsedades-en-el-que-un-presentador-mide-el-nivel-de-oxigeno-dentro-de-una-mascarilla-de-un-nino-el-aire-exhalado-siempre-tiene-menos-oxigeno-pero-las-mascarillas-no-lo-retienen/,Falso,1,false claims from the video about the oxygen level inside a childs mask,https://maldita.es/malditaciencia/20210204/el-video-lleno-de-falsedades-en-el-que-un-presentador-mide-el-nivel-de-oxigeno-dentro-de-una-mascarilla-de-un-nino-el-aire-exhalado-siempre-tiene-menos-oxigeno-pero-las-mascarillas-no-lo-retienen/
32,FACT CHECK: Does This Video Show Thailand's Health Minister ...,The video shows Thailand’s health minister crying while receiving a COVID-19 vaccine injection,2021-01-30T00:00:00Z,2021-02-04T22:01:14Z,Viral Video,Check Your Fact,http://checkyourfact.com/2021/02/04/fact-check-video-thailand-health-minister-covid-vaccine/,False,0,the video shows thailands health minister crying while receiving a covid19 vaccine injection,https://checkyourfact.com/2021/02/04/fact-check-video-thailand-health-minister-covid-vaccine/
33,VERA FILES FACT CHECK: Trillanes' claim on the status of COVID ...,Israel already had 50% of its population vaccinated.,2021-02-01T00:00:00Z,2021-02-04T00:00:00Z,Antonio “Sonny” Trillanes IV,VERA Files,https://verafiles.org/articles/vera-files-fact-check-trillanes-claim-status-covid-19-vaccin,Misleading,1,israel has vaccinated 50 of their population,https://verafiles.org/articles/vera-files-fact-check-trillanes-claim-status-covid-19-vaccin
34,VERA FILES FACT CHECK: Trillanes' claim on the status of COVID ...,ASEAN countries have rolled out vaccination programs as well.,2021-02-01T00:00:00Z,2021-02-04T00:00:00Z,Antonio “Sonny” Trillanes IV,VERA Files,https://verafiles.org/articles/vera-files-fact-check-trillanes-claim-status-covid-19-vaccin,Needs Context,1,israel has vaccinated 50 of their population,https://verafiles.org/articles/vera-files-fact-check-trillanes-claim-status-covid-19-vaccin
35,,Baseball legend Hank Aaron’s death is related to his Moderna Covid-19 vaccination,2021-01-22T00:00:00Z,2021-01-27T20:59:00Z,multiple sources,AFP Fact Check,https://factcheck.afp.com/hall-famer-hank-aarons-death-unrelated-covid-19-vaccination,Misleading,1,atlanta baseball legend hank aarons death linked to his moderna covid19 vaccination,https://factcheck.afp.com/hall-famer-hank-aarons-death-unrelated-covid-19-vaccination
36,,Accurate reporting on Pfizer-BioNTech Covid-19 vaccination drive and deaths in Germany,2021-01-19T00:00:00Z,2021-01-27T07:00:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/social-media-posts-misrepresent-pfizer-biontech-covid-19-vaccinations-germany,Misleading,1,10 people died after receing pfizerbiontech covid19 vaccinations in germany,https://factcheck.afp.com/social-media-posts-misrepresent-pfizer-biontech-covid-19-vaccinations-germany
37,"Nie, grupa Bilderberg nie przygotowywała świata do medycznej tyranii",Grupa Bilderberg przygotowywała świat do medycznej tyranii.,2021-01-26T00:00:00Z,2021-02-03T00:00:00Z,Killuminati PL,Demagog,https://demagog.org.pl/fake_news/nie-grupa-bilderberg-nie-przygotowywala-swiata-do-medycznej-tyranii/,Fałsz. Grupa Bilderberg nie przygotowywała świata do medycznej tyranii Teoria spiskowa nie ma żadnego potwierdzenia w faktach.,1,bilderberg group is planning depopulation by vaccines,https://demagog.org.pl/fake_news/nie-grupa-bilderberg-nie-przygotowywala-swiata-do-medycznej-tyranii/
38,Dióxido de cloro no cura el COVID-19 ni 'te salva de vacunarte ...,El dióxido de cloro te salva de vacunarte. Dióxido de cloro cura el COVID19,,2021-01-27T17:19:29Z,,ColombiaCheck,https://colombiacheck.com/chequeos/dioxido-de-cloro-no-cura-el-covid-19-ni-te-salva-de-vacunarte-como-dijo-natalia-paris,Falso,1,chlorine dioxide is an alternative to vaccination against covid19,https://colombiacheck.com/chequeos/dioxido-de-cloro-no-cura-el-covid-19-ni-te-salva-de-vacunarte-como-dijo-natalia-paris
39,Burun spreyinin Covid-19'u bir dakikada etkisiz hale getirdiği iddiası,Burun spreyinin Covid-19'u bir dakikada etkisiz hale getirdiği iddiası,2021-01-22T00:00:00Z,2021-01-27T00:00:00Z,Sabah,Teyit.org,https://teyit.org/analiz-burun-spreyinin-covid-19u-bir-dakikada-etkisiz-hale-getirdigi-iddiasi,Yanlış,1,a nasal spray neutralizes covid19 in a minute,https://teyit.org/analiz-burun-spreyinin-covid-19u-bir-dakikada-etkisiz-hale-getirdigi-iddiasi
40,Video de Carlos Holmes Trujillo en parranda vallenata es de 2019,Carlos Holmes Trujillo se contagió de COVID en una parranda vallenata.,,2021-01-27T21:44:36Z,,ColombiaCheck,https://colombiacheck.com/chequeos/video-de-carlos-holmes-trujillo-en-parranda-vallenata-no-es-de-epoca-de-covid-19,Falso,1,colombian defense minister carlos holmes trujillo who died of covid19 was infected at a party,https://colombiacheck.com/chequeos/video-de-carlos-holmes-trujillo-en-parranda-vallenata-no-es-de-epoca-de-covid-19
41,É falso que filho do ex-presidente Lula comprou 20% das ações da ...,Filho do ex-presidente Lula comprou 20% das ações da farmacêutica chinesa Sinovac.,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,desinformação,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-filho-do-ex-presidente-lula-comprou-20-das-acoes-da-sinovac/,falso,1,brazilian expresident lulas son bought 20 of the shares of sinovac biotech,https://www.aosfatos.org/noticias/e-falso-que-filho-do-ex-presidente-lula-comprou-20-das-acoes-da-sinovac/
42,É falso que Biden disse que cloroquina é eficaz contra a Covid-19,Biden disse que cloroquina é eficaz contra a Covid-19.,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,desinformação,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-biden-disse-que-cloroquina-e-eficaz-contra-covid-19/,falso,1,joe biden said chloroquine is effective against covid19,https://www.aosfatos.org/noticias/e-falso-que-biden-disse-que-cloroquina-e-eficaz-contra-covid-19/
43,,"Ein TV-Beitrag zeige, dass sich CSU-Politiker Roland Grillmeier zum Schein gegen Covid-19 impfen ließ.",2021-01-27T00:00:00Z,2021-01-28T00:00:00Z,Viraler Telegram-Beitrag,Correctiv,https://correctiv.org/faktencheck/2021/01/28/nein-csu-politiker-roland-grillmeier-hat-sich-nicht-zum-schein-gegen-corona-impfen-lassen/,Falscher Kontext. Das Video zeigt einen Testdurchlauf in einem Impfzentrum im Dezember 2020. Roland Grillmeier ist nach eigenen Angaben nicht gegen Covid-19 geimpft.,1,a video shows that german politician roland grillmeier faked his covid19 vaccination,https://correctiv.org/faktencheck/2021/01/28/nein-csu-politiker-roland-grillmeier-hat-sich-nicht-zum-schein-gegen-corona-impfen-lassen/
44,,Pfizer chief will not take Covid-19 vaccine,2021-01-22T00:00:00Z,2021-01-29T14:50:00Z,Cyude Arinze,AFP Fact Check,https://factcheck.afp.com/pfizers-ceo-said-he-will-get-covid-19-jab-when-its-his-rightful-turn,Misleading,1,pfizers chief executive albert bourla  refused to take the covid19 vaccine manufactured by his company because my type is not recommended,https://factcheck.afp.com/pfizers-ceo-said-he-will-get-covid-19-jab-when-its-his-rightful-turn
45,Site faz análise enviesada e com erros técnicos para defender uso ...,45 estudos apontam que a ivermectina é eficaz contra a covid-19,2021-03-15T20:46:32Z,2021-03-15T20:46:32Z,Post em redes sociais,Política - Estadão,https://politica.estadao.com.br/blogs/estadao-verifica/site-faz-analise-enviesada-e-com-erros-tecnicos-para-defender-uso-da-ivermectina-contra-covid/,Falso,0,ivermectin nitazoxanide and bromhexine cures and prevent covid19,https://politica.estadao.com.br/blogs/estadao-verifica/medico-recomenda-tratamento-precoce-sem-eficacia-comprovada-contra-covid-19-em-video-viral/
46,,Video shows hundreds of people fainting after getting Covid-19 vaccine in Indonesia,2021-01-19T00:00:00Z,2021-01-29T07:30:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/video-shows-indonesian-students-falling-ill-after-being-vaccinated-diphtheria-2018,False,1,video of people fainting after receiving covid19 vaccines in indonesia,https://factcheck.afp.com/video-shows-indonesian-students-falling-ill-after-being-vaccinated-diphtheria-2018
47,Kalabalığı gösteren fotoğrafın İstanbul metrosunda çekildiği iddiası,Kalabalığı gösteren fotoğrafın İstanbul metrosunda çekildiği iddiası,2021-01-28T00:00:00Z,2021-01-29T00:00:00Z,Sosyal Medya,Teyit.org,https://teyit.org/analiz-kalabaligi-gosteren-fotografin-istanbul-metrosunda-cekildigi-iddiasi,Yanlış,1,the photo showing the crowd was taken in the istanbul subway,https://teyit.org/analiz-kalabaligi-gosteren-fotografin-istanbul-metrosunda-cekildigi-iddiasi
48,,"WHO admitted that PCR tests are resulting in widespread false positives for the virus that causes Covid-19, and asked laboratories to change the way they are conducted",2021-01-21T00:00:00Z,2021-01-29T17:38:00Z,Multiple people,AFP Fact Check,https://factcheck.afp.com/posts-mischaracterize-who-advice-coronavirus-testing-equipment,Missing context,1,the world health organization admitted that pcr tests are resulting in widespread false positives for the virus that causes covid19 and asked laboratories to change the way they are conducted,https://factcheck.afp.com/posts-mischaracterize-who-advice-coronavirus-testing-equipment
49,"Fact Check: कोविड वैक्सीन नहीं, कोरोना टेस्ट को लेकर जारी हुई गाइडलाइन ...",दावा किया जा रहा है कि सऊदी अरब भारत से आने वाले हज यात्रियों को कोरोना वैक्सीन लगे होने का कागज (सर्टिफिकेट) दिखाने पर ही हज की यात्रा की इजाजत देगा।,2021-01-28T14:14:57Z,2021-01-28T14:14:57Z,The Last Nationalist,विश्वास न्यूज़ फैक्ट चेक हिंदी,https://www.vishvasnews.com/viral/fact-check-guidelines-issued-for-corona-test-not-for-covid-vaccine-false-claim-about-indian-haj-pilgrims-goes-viral/,False,1,saudi arabia will allow haj pilgrims coming from india to visit the haj only after showing a certificate of corona vaccine,https://www.vishvasnews.com/viral/fact-check-guidelines-issued-for-corona-test-not-for-covid-vaccine-false-claim-about-indian-haj-pilgrims-goes-viral/
50,Outdoor em Campo Grande com imagem de Doria não foi pago ...,Outdoor em Campo Grande com imagem de João Doria foi pago pelo Governo de São Paulo.,2021-01-28T00:00:00Z,2021-01-28T00:00:00Z,desinformação,Aos Fatos,https://www.aosfatos.org/noticias/outdoor-em-campo-grande-com-imagem-de-doria-nao-foi-pago-pelo-governo-paulista/,falso,1,governor of são paulo paid billboards in the capital of mato grosso do sul to boast the vaccine against covid19,https://www.aosfatos.org/noticias/outdoor-em-campo-grande-com-imagem-de-doria-nao-foi-pago-pelo-governo-paulista/
51,"No, study does not show staring at women's breasts prolongs ...","Touching, Staring at women’s breasts make men live longer, healthier — Study",2019-10-22T00:00:00Z,2019-10-22T00:00:00Z,"Vanguard Nigeria, Daily Post, Premium Times Nigeria",International Centre For Investigative Reporting,https://www.icirnigeria.org/study-does-not-show-staring-at-womens-breasts-prolongs-lifespan/,"A 20-year-old hoax suggesting that staring at female breasts has the effect of promoting longevity in men has been circulated by the News Agency of Nigeria, NAN, the government-controlled news wire service. “No such study was ever published in the New England Journal of Medicine,” wrote David Emery, an internet folklore expert and debunker of urban legends, hoaxes, and popular misconceptions.",0,coomeva medicina prepagada recommends taking azithromycin ivermectin and nitazoxanide to cure covid19 at home,nan
52,VERA FILES FACT CHECK: Videos of shaking woman 'after COVID ...,Videos of a woman convulsing and having tongue spasms show effects of getting inoculated with COVID-19 vaccines,2021-01-18T00:00:00Z,2021-01-29T00:00:00Z,FB page Lynn Channel,VERA Files,https://verafiles.org/articles/vera-files-fact-check-videos-shaking-woman-after-covid-19-va,Misleading,1,videos of a woman convulsing and having tongue spasms show the effects of modernas covid19 vaccine,https://verafiles.org/articles/vera-files-fact-check-videos-shaking-woman-after-covid-19-va
53,,US health institute (NIH) recommends Ivermectin to treat Covid-19,2021-01-18T00:00:00Z,2021-01-28T10:27:00Z,Vytjie Mentor,AFP Fact Check,https://factcheck.afp.com/us-national-institutes-health-did-not-recommend-ivermectin-treat-covid-19-patients,False,1,us national institutes of health recommends ivermectin to treat covid19 patients,https://factcheck.afp.com/us-national-institutes-health-did-not-recommend-ivermectin-treat-covid-19-patients
54,FACT CHECK: Viral Image Falsely Claims Hank Aaron Was 'Killed ...,Hank Aaron was killed by the COVID-19 vaccine,2021-01-22T00:00:00Z,2021-01-29T01:43:39Z,Viral image,Check Your Fact,http://checkyourfact.com/2021/01/28/fact-check-hank-aaron-killed-covid-vaccine-natural-causes/,False,0,major league baseball mlb legend hank aaron was killed by the covid19 vaccine,https://checkyourfact.com/2021/01/28/fact-check-hank-aaron-killed-covid-vaccine-natural-causes/
55,'123 countries' mentioned in the post is about the reach of all of ...,123 countries have ordered COVID-19 vaccine from the Bharath Biotech,2021-01-28T00:00:00Z,2021-02-02T00:00:00Z,SOCIAL MEDIA POST,FACTLY,https://factly.in/123-countries-mentioned-in-the-post-is-about-the-reach-of-bharath-biotechs-all-vaccines/,MISLEADING,1,123 countries have ordered the covid19 vaccine from bharath biotech,https://factly.in/123-countries-mentioned-in-the-post-is-about-the-reach-of-bharath-biotechs-all-vaccines/
56,Foto de helicóptero não prova que Doria estava em Angra; no dia ...,João Dória deixa São Paulo na fase vermelha e vai curtir em Angra dos Reis.,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,desinformação,Aos Fatos,https://www.aosfatos.org/noticias/foto-de-helicoptero-nao-prova-que-doria-estava-em-angra-no-dia-tucano-participou-de-evento-em-sp/,falso,1,governor of são paulo decrees isolation measures in the state and travels to the state of rio de janeiro the following weekend,https://www.aosfatos.org/noticias/foto-de-helicoptero-nao-prova-que-doria-estava-em-angra-no-dia-tucano-participou-de-evento-em-sp/
